ID;TARGET
1;13
2;18
3;19
4;11
5;13
6;9
7;20
8;5
9;17
10;8
11;6
12;13
13;13
14;18
15;18
16;17
17;16
18;7
19;9
20;11
21;11
22;12
23;10
24;13
25;11
26;12
27;19
28;13
29;12
30;15
31;11
32;14
33;3
34;8
35;10
36;11
37;13
38;6
39;13
40;20
41;14
42;17
43;12
44;3
45;10
46;10
47;11
48;1
49;11
50;19
51;15
52;9
53;13
54;12
55;20
56;15
57;19
58;17
59;21
60;14
61;13
62;3
63;10
64;11
65;7
66;9
67;5
68;5
69;11
70;10
71;21
72;15
73;14
74;0
75;12
76;14
77;11
78;6
79;10
80;11
81;7
82;12
83;19
84;17
85;9
86;16
87;15
88;16
89;7
90;15
91;18
92;13
93;20
94;17
95;12
96;13
97;7
98;14
99;11
100;8
101;16
102;17
103;13
104;18
105;12
106;14
107;7
108;18
109;19
110;19
111;6
112;10
113;18
114;14
115;10
116;10
117;20
118;10
119;10
120;14
121;6
122;8
123;13
124;9
125;10
126;3
127;17
128;13
129;14
130;8
131;14
132;14
133;6
134;18
135;8
136;13
137;9
138;19
139;7
140;21
141;15
142;9
143;18
144;9
145;17
146;20
147;18
148;13
149;13
150;16
151;15
152;9
153;9
154;14
155;16
156;8
157;3
158;15
159;17
160;10
161;13
162;17
163;11
164;17
165;15
166;4
167;21
168;6
169;21
170;11
171;0
172;16
173;11
174;11
175;4
176;12
177;13
178;16
179;16
180;11
181;18
182;11
183;15
184;15
185;16
186;14
187;14
188;21
189;18
190;12
191;6
192;13
193;16
194;18
195;14
196;9
197;13
198;5
199;13
200;12
201;10
202;7
203;7
204;11
205;16
206;16
207;9
208;11
209;11
210;9
211;2
212;15
213;2
214;4
215;6
216;16
217;16
218;10
219;19
220;7
221;12
222;14
223;20
224;15
225;13
226;0
227;17
228;12
229;11
230;11
231;12
232;10
233;13
234;11
235;10
236;12
237;13
238;17
239;13
240;7
241;11
242;14
243;12
244;18
245;17
246;12
247;18
248;13
249;5
250;15
251;17
252;13
253;10
254;11
255;12
256;15
257;18
258;5
259;21
260;10
261;11
262;15
263;15
264;15
265;14
266;14
267;9
268;18
269;19
270;18
271;6
272;17
273;17
274;11
275;12
276;11
277;13
278;14
279;15
280;11
281;21
282;15
283;12
284;20
285;6
286;13
287;12
288;9
289;19
290;9
291;7
292;15
293;9
294;15
295;15
296;15
297;9
298;15
299;9
300;16
301;10
302;17
303;14
304;3
305;10
306;19
307;9
308;10
309;15
310;8
311;17
312;8
313;13
314;14
315;13
316;19
317;4
318;7
319;13
320;15
321;12
322;6
323;12
324;15
325;16
326;0
327;15
328;9
329;11
330;15
331;6
332;11
333;12
334;16
335;17
336;17
337;10
338;15
339;11
340;17
341;13
342;20
343;21
344;8
345;18
346;16
347;11
348;19
349;17
350;14
351;12
352;16
353;13
354;5
355;15
356;14
357;18
358;15
359;9
360;7
361;20
362;5
363;18
364;18
365;12
366;15
367;9
368;14
369;11
370;9
371;20
372;5
373;5
374;16
375;11
376;22
377;18
378;13
379;4
380;18
381;13
382;11
383;5
384;12
385;8
386;15
387;18
388;10
389;8
390;11
391;15
392;18
393;10
394;11
395;10
396;14
397;18
398;9
399;19
400;14
401;13
402;15
403;15
404;14
405;16
406;15
407;12
408;12
409;17
410;15
411;19
412;16
413;8
414;21
415;13
416;10
417;7
418;6
419;7
420;13
421;5
422;14
423;17
424;1
425;13
426;16
427;18
428;10
429;22
430;7
431;5
432;12
433;17
434;13
435;16
436;9
437;13
438;12
439;13
440;12
441;14
442;11
443;6
444;7
445;12
446;7
447;0
448;17
449;16
450;18
451;16
452;12
453;18
454;10
455;15
456;10
457;8
458;12
459;18
460;11
461;10
462;9
463;18
464;11
465;14
466;16
467;16
468;14
469;13
470;13
471;11
472;7
473;15
474;4
475;12
476;11
477;18
478;18
479;11
480;10
481;11
482;3
483;15
484;13
485;11
486;17
487;17
488;16
489;9
490;15
491;13
492;11
493;11
494;18
495;13
496;11
497;23
498;7
499;14
500;16
501;8
502;22
503;13
504;11
505;11
506;18
507;13
508;5
509;10
510;17
511;8
512;9
513;8
514;5
515;14
516;11
517;10
518;16
519;15
520;15
521;14
522;10
523;14
524;9
525;5
526;21
527;16
528;8
529;13
530;14
531;6
532;13
533;9
534;15
535;5
536;0
537;11
538;6
539;11
540;15
541;11
542;12
543;14
544;15
545;11
546;20
547;19
548;7
549;9
550;13
551;5
552;11
553;9
554;11
555;17
556;11
557;10
558;14
559;11
560;11
561;9
562;14
563;13
564;17
565;8
566;18
567;10
568;14
569;12
570;19
571;12
572;16
573;1
574;11
575;17
576;17
577;2
578;20
579;12
580;11
581;19
582;14
583;21
584;12
585;13
586;12
587;6
588;9
589;7
590;5
591;8
592;15
593;8
594;17
595;9
596;6
597;6
598;7
599;13
600;9
601;17
602;14
603;20
604;3
605;8
606;7
607;15
608;19
609;9
610;20
611;2
612;10
613;18
614;13
615;18
616;15
617;14
618;2
619;12
620;17
621;18
622;13
623;13
624;12
625;10
626;12
627;14
628;17
629;14
630;15
631;10
632;13
633;14
634;13
635;11
636;18
637;10
638;10
639;10
640;17
641;12
642;4
643;6
644;17
645;17
646;3
647;12
648;10
649;7
650;10
651;16
652;12
653;11
654;14
655;8
656;13
657;8
658;2
659;14
660;9
661;9
662;12
663;16
664;12
665;14
666;17
667;14
668;12
669;11
670;3
671;11
672;10
673;13
674;7
675;8
676;12
677;14
678;14
679;20
680;19
681;12
682;17
683;8
684;11
685;13
686;11
687;7
688;14
689;12
690;6
691;6
692;16
693;14
694;12
695;11
696;18
697;12
698;12
699;7
700;12
701;14
702;7
703;12
704;8
705;6
706;13
707;5
708;5
709;17
710;9
711;13
712;18
713;14
714;16
715;12
716;19
717;14
718;11
719;21
720;21
721;6
722;9
723;7
724;17
725;5
726;3
727;14
728;9
729;21
730;14
731;7
732;13
733;9
734;9
735;9
736;16
737;11
738;11
739;12
740;14
741;10
742;17
743;1
744;10
745;14
746;15
747;13
748;10
749;11
750;7
751;9
752;14
753;13
754;8
755;10
756;12
757;12
758;17
759;18
760;20
761;17
762;15
763;16
764;9
765;15
766;17
767;19
768;11
769;6
770;15
771;14
772;14
773;15
774;13
775;17
776;17
777;11
778;5
779;6
780;8
781;13
782;11
783;6
784;15
785;8
786;12
787;17
788;18
789;13
790;20
791;13
792;16
793;10
794;6
795;10
796;12
797;17
798;16
799;20
800;6
801;0
802;8
803;8
804;9
805;14
806;19
807;13
808;18
809;14
810;9
811;11
812;12
813;14
814;11
815;5
816;11
817;17
818;9
819;2
820;9
821;15
822;15
823;11
824;10
825;17
826;9
827;9
828;8
829;17
830;21
831;8
832;8
833;17
834;9
835;10
836;9
837;15
838;0
839;18
840;14
841;8
842;13
843;0
844;10
845;5
846;14
847;15
848;9
849;13
850;6
851;12
852;9
853;11
854;17
855;16
856;13
857;17
858;18
859;12
860;17
861;11
862;14
863;13
864;15
865;22
866;13
867;9
868;17
869;12
870;5
871;12
872;8
873;17
874;8
875;14
876;18
877;11
878;12
879;15
880;19
881;9
882;9
883;18
884;17
885;13
886;14
887;15
888;16
889;9
890;14
891;16
892;15
893;15
894;14
895;10
896;11
897;14
898;12
899;13
900;2
901;14
902;20
903;8
904;16
905;19
906;10
907;10
908;15
909;20
910;11
911;14
912;8
913;19
914;7
915;11
916;12
917;12
918;16
919;14
920;15
921;9
922;13
923;15
924;17
925;8
926;11
927;9
928;17
929;14
930;4
931;11
932;10
933;16
934;15
935;6
936;9
937;19
938;15
939;13
940;12
941;8
942;1
943;3
944;16
945;14
946;22
947;13
948;16
949;16
950;10
951;10
952;12
953;13
954;15
955;12
956;17
957;19
958;19
959;12
960;14
961;14
962;10
963;15
964;10
965;16
966;12
967;7
968;12
969;18
970;13
971;12
972;8
973;16
974;11
975;12
976;16
977;17
978;10
979;12
980;17
981;9
982;13
983;15
984;16
985;12
986;12
987;20
988;13
989;21
990;10
991;13
992;15
993;11
994;11
995;16
996;12
997;11
998;10
999;17
1000;10
1001;13
1002;9
1003;17
1004;16
1005;14
1006;9
1007;17
1008;9
1009;14
1010;15
1011;15
1012;8
1013;15
1014;4
1015;19
1016;12
1017;9
1018;14
1019;11
1020;4
1021;15
1022;13
1023;5
1024;16
1025;18
1026;10
1027;17
1028;4
1029;6
1030;12
1031;8
1032;15
1033;6
1034;13
1035;12
1036;14
1037;9
1038;12
1039;14
1040;12
1041;16
1042;6
1043;14
1044;9
1045;7
1046;14
1047;10
1048;8
1049;9
1050;8
1051;17
1052;7
1053;19
1054;10
1055;13
1056;15
1057;11
1058;10
1059;13
1060;5
1061;11
1062;4
1063;2
1064;12
1065;8
1066;21
1067;7
1068;9
1069;15
1070;11
1071;12
1072;14
1073;7
1074;12
1075;14
1076;23
1077;13
1078;2
1079;15
1080;8
1081;12
1082;18
1083;19
1084;6
1085;18
1086;14
1087;23
1088;19
1089;19
1090;9
1091;15
1092;8
1093;13
1094;0
1095;13
1096;9
1097;11
1098;13
1099;11
1100;16
1101;18
1102;9
1103;10
1104;17
1105;8
1106;9
1107;12
1108;17
1109;18
1110;8
1111;5
1112;16
1113;7
1114;4
1115;11
1116;7
1117;3
1118;10
1119;9
1120;19
1121;9
1122;16
1123;11
1124;20
1125;12
1126;12
1127;11
1128;11
1129;15
1130;5
1131;9
1132;14
1133;13
1134;4
1135;15
1136;14
1137;10
1138;8
1139;16
1140;18
1141;10
1142;4
1143;12
1144;17
1145;7
1146;5
1147;12
1148;7
1149;11
1150;6
1151;16
1152;17
1153;8
1154;17
1155;12
1156;14
1157;10
1158;10
1159;8
1160;6
1161;3
1162;16
1163;13
1164;13
1165;8
1166;12
1167;11
1168;7
1169;12
1170;7
1171;12
1172;14
1173;17
1174;15
1175;7
1176;11
1177;12
1178;20
1179;10
1180;17
1181;15
1182;13
1183;10
1184;9
1185;15
1186;12
1187;6
1188;6
1189;7
1190;9
1191;5
1192;17
1193;11
1194;12
1195;18
1196;15
1197;11
1198;0
1199;1
1200;13
1201;21
1202;19
1203;12
1204;13
1205;16
1206;12
1207;16
1208;10
1209;16
1210;12
1211;15
1212;15
1213;10
1214;12
1215;11
1216;16
1217;7
1218;23
1219;11
1220;8
1221;9
1222;16
1223;16
1224;11
1225;13
1226;17
1227;13
1228;13
1229;13
1230;15
1231;6
1232;10
1233;13
1234;9
1235;13
1236;16
1237;15
1238;16
1239;15
1240;14
1241;13
1242;15
1243;12
1244;18
1245;14
1246;10
1247;12
1248;15
1249;7
1250;14
1251;15
1252;13
1253;3
1254;6
1255;19
1256;2
1257;6
1258;7
1259;11
1260;13
1261;0
1262;5
1263;15
1264;13
1265;4
1266;18
1267;11
1268;7
1269;2
1270;14
1271;8
1272;14
1273;9
1274;15
1275;18
1276;1
1277;8
1278;16
1279;8
1280;11
1281;8
1282;16
1283;3
1284;10
1285;14
1286;21
1287;8
1288;9
1289;10
1290;3
1291;5
1292;12
1293;11
1294;10
1295;15
1296;11
1297;17
1298;16
1299;13
1300;6
1301;12
1302;15
1303;16
1304;13
1305;16
1306;12
1307;10
1308;2
1309;10
1310;17
1311;8
1312;12
1313;15
1314;12
1315;14
1316;15
1317;18
1318;14
1319;5
1320;16
1321;15
1322;18
1323;13
1324;16
1325;13
1326;7
1327;13
1328;2
1329;16
1330;9
1331;13
1332;7
1333;13
1334;16
1335;17
1336;17
1337;14
1338;15
1339;7
1340;10
1341;12
1342;12
1343;13
1344;9
1345;17
1346;12
1347;5
1348;13
1349;4
1350;11
1351;14
1352;12
1353;16
1354;12
1355;15
1356;14
1357;9
1358;7
1359;8
1360;5
1361;9
1362;12
1363;14
1364;9
1365;10
1366;11
1367;14
1368;18
1369;6
1370;12
1371;12
1372;4
1373;7
1374;11
1375;18
1376;10
1377;9
1378;18
1379;14
1380;18
1381;11
1382;13
1383;9
1384;13
1385;16
1386;10
1387;15
1388;15
1389;16
1390;15
1391;11
1392;11
1393;9
1394;15
1395;12
1396;13
1397;11
1398;4
1399;10
1400;15
1401;9
1402;9
1403;9
1404;10
1405;9
1406;13
1407;7
1408;13
1409;15
1410;11
1411;13
1412;8
1413;15
1414;20
1415;13
1416;2
1417;7
1418;11
1419;7
1420;11
1421;10
1422;11
1423;15
1424;14
1425;10
1426;12
1427;15
1428;9
1429;11
1430;10
1431;14
1432;14
1433;20
1434;11
1435;8
1436;13
1437;18
1438;9
1439;15
1440;18
1441;7
1442;13
1443;12
1444;5
1445;13
1446;13
1447;15
1448;16
1449;10
1450;15
1451;17
1452;15
1453;16
1454;16
1455;12
1456;8
1457;15
1458;14
1459;13
1460;19
1461;14
1462;17
1463;7
1464;14
1465;13
1466;15
1467;17
1468;17
1469;12
1470;18
1471;20
1472;20
1473;7
1474;11
1475;10
1476;14
1477;10
1478;17
1479;16
1480;17
1481;18
1482;10
1483;16
1484;12
1485;11
1486;14
1487;9
1488;10
1489;16
1490;8
1491;18
1492;8
1493;7
1494;13
1495;7
1496;15
1497;17
1498;13
1499;14
1500;22
1501;7
1502;13
1503;12
1504;12
1505;6
1506;14
1507;19
1508;7
1509;13
1510;13
1511;2
1512;13
1513;22
1514;15
1515;11
1516;12
1517;16
1518;3
1519;16
1520;18
1521;9
1522;16
1523;11
1524;8
1525;12
1526;3
1527;5
1528;14
1529;10
1530;7
1531;10
1532;21
1533;14
1534;14
1535;8
1536;14
1537;14
1538;5
1539;14
1540;12
1541;20
1542;10
1543;15
1544;14
1545;8
1546;8
1547;16
1548;12
1549;11
1550;9
1551;15
1552;12
1553;12
1554;17
1555;16
1556;14
1557;17
1558;10
1559;15
1560;20
1561;15
1562;4
1563;23
1564;11
1565;17
1566;10
1567;14
1568;14
1569;12
1570;9
1571;5
1572;16
1573;15
1574;1
1575;16
1576;14
1577;3
1578;16
1579;19
1580;16
1581;12
1582;17
1583;14
1584;20
1585;9
1586;13
1587;12
1588;15
1589;14
1590;16
1591;11
1592;16
1593;14
1594;19
1595;14
1596;13
1597;11
1598;10
1599;16
1600;8
1601;7
1602;15
1603;14
1604;12
1605;13
1606;15
1607;10
1608;12
1609;13
1610;8
1611;6
1612;7
1613;22
1614;9
1615;17
1616;17
1617;13
1618;11
1619;11
1620;8
1621;18
1622;8
1623;15
1624;17
1625;11
1626;15
1627;9
1628;8
1629;11
1630;12
1631;15
1632;8
1633;10
1634;6
1635;20
1636;10
1637;14
1638;10
1639;19
1640;5
1641;15
1642;14
1643;19
1644;12
1645;13
1646;17
1647;10
1648;10
1649;16
1650;10
1651;11
1652;19
1653;11
1654;15
1655;11
1656;10
1657;9
1658;0
1659;20
1660;6
1661;11
1662;18
1663;14
1664;19
1665;11
1666;16
1667;15
1668;12
1669;16
1670;6
1671;14
1672;14
1673;15
1674;12
1675;17
1676;21
1677;11
1678;4
1679;11
1680;15
1681;14
1682;9
1683;17
1684;9
1685;13
1686;13
1687;9
1688;7
1689;19
1690;16
1691;16
1692;12
1693;16
1694;15
1695;17
1696;5
1697;10
1698;15
1699;7
1700;20
1701;12
1702;17
1703;14
1704;13
1705;15
1706;18
1707;12
1708;12
1709;17
1710;14
1711;18
1712;21
1713;8
1714;11
1715;15
1716;15
1717;20
1718;12
1719;13
1720;10
1721;8
1722;6
1723;15
1724;14
1725;1
1726;9
1727;7
1728;11
1729;12
1730;8
1731;13
1732;19
1733;13
1734;12
1735;12
1736;13
1737;21
1738;13
1739;3
1740;13
1741;11
1742;16
1743;12
1744;15
1745;10
1746;7
1747;13
1748;8
1749;14
1750;14
1751;19
1752;18
1753;12
1754;6
1755;13
1756;13
1757;14
1758;13
1759;16
1760;13
1761;16
1762;18
1763;11
1764;3
1765;8
1766;11
1767;12
1768;10
1769;7
1770;11
1771;17
1772;11
1773;13
1774;11
1775;15
1776;8
1777;9
1778;19
1779;16
1780;16
1781;14
1782;19
1783;8
1784;7
1785;17
1786;13
1787;12
1788;17
1789;21
1790;8
1791;10
1792;14
1793;11
1794;16
1795;17
1796;12
1797;13
1798;13
1799;15
1800;8
1801;19
1802;12
1803;19
1804;19
1805;16
1806;11
1807;11
1808;10
1809;15
1810;13
1811;11
1812;11
1813;0
1814;11
1815;13
1816;15
1817;13
1818;13
1819;21
1820;7
1821;10
1822;13
1823;16
1824;10
1825;1
1826;15
1827;13
1828;14
1829;20
1830;12
1831;15
1832;9
1833;17
1834;17
1835;13
1836;12
1837;11
1838;11
1839;16
1840;15
1841;19
1842;15
1843;12
1844;12
1845;0
1846;17
1847;17
1848;15
1849;13
1850;9
1851;6
1852;21
1853;13
1854;12
1855;8
1856;14
1857;12
1858;9
1859;9
1860;19
1861;17
1862;6
1863;3
1864;16
1865;18
1866;12
1867;18
1868;14
1869;9
1870;15
1871;10
1872;13
1873;14
1874;23
1875;15
1876;8
1877;9
1878;20
1879;17
1880;4
1881;12
1882;15
1883;16
1884;11
1885;16
1886;10
1887;16
1888;14
1889;18
1890;8
1891;12
1892;9
1893;19
1894;17
1895;3
1896;9
1897;13
1898;15
1899;15
1900;14
1901;9
1902;17
1903;13
1904;1
1905;12
1906;16
1907;12
1908;5
1909;19
1910;6
1911;19
1912;11
1913;0
1914;15
1915;8
1916;20
1917;18
1918;11
1919;12
1920;16
1921;14
1922;18
1923;12
1924;13
1925;13
1926;13
1927;8
1928;19
1929;13
1930;18
1931;12
1932;15
1933;17
1934;16
1935;16
1936;11
1937;13
1938;12
1939;9
1940;16
1941;14
1942;13
1943;15
1944;4
1945;10
1946;7
1947;17
1948;13
1949;11
1950;16
1951;13
1952;12
1953;14
1954;16
1955;13
1956;14
1957;11
1958;9
1959;8
1960;17
1961;15
1962;16
1963;17
1964;12
1965;12
1966;6
1967;5
1968;15
1969;4
1970;20
1971;11
1972;16
1973;8
1974;6
1975;17
1976;0
1977;15
1978;12
1979;15
1980;10
1981;15
1982;11
1983;15
1984;19
1985;17
1986;14
1987;13
1988;15
1989;9
1990;0
1991;17
1992;9
1993;6
1994;16
1995;15
1996;13
1997;2
1998;18
1999;14
2000;12
2001;9
2002;4
2003;17
2004;9
2005;14
2006;13
2007;11
2008;12
2009;12
2010;8
2011;12
2012;15
2013;18
2014;19
2015;11
2016;7
2017;9
2018;13
2019;11
2020;15
2021;13
2022;9
2023;15
2024;9
2025;1
2026;8
2027;10
2028;18
2029;10
2030;19
2031;8
2032;5
2033;12
2034;13
2035;14
2036;10
2037;6
2038;9
2039;14
2040;16
2041;3
2042;18
2043;8
2044;15
2045;12
2046;13
2047;12
2048;18
2049;9
2050;12
2051;21
2052;13
2053;12
2054;11
2055;13
2056;13
2057;14
2058;5
2059;12
2060;8
2061;12
2062;6
2063;12
2064;9
2065;19
2066;20
2067;13
2068;9
2069;13
2070;14
2071;11
2072;14
2073;8
2074;10
2075;14
2076;14
2077;10
2078;20
2079;13
2080;6
2081;12
2082;16
2083;19
2084;18
2085;0
2086;14
2087;12
2088;6
2089;11
2090;12
2091;14
2092;11
2093;15
2094;12
2095;14
2096;12
2097;21
2098;15
2099;15
2100;10
2101;7
2102;12
2103;11
2104;14
2105;8
2106;5
2107;7
2108;19
2109;12
2110;12
2111;14
2112;14
2113;11
2114;14
2115;11
2116;16
2117;13
2118;1
2119;19
2120;12
2121;16
2122;10
2123;13
2124;5
2125;9
2126;9
2127;12
2128;13
2129;9
2130;24
2131;6
2132;11
2133;14
2134;20
2135;11
2136;19
2137;10
2138;10
2139;14
2140;18
2141;12
2142;21
2143;13
2144;15
2145;11
2146;13
2147;10
2148;9
2149;13
2150;11
2151;16
2152;16
2153;16
2154;21
2155;10
2156;6
2157;10
2158;7
2159;9
2160;14
2161;15
2162;12
2163;12
2164;12
2165;10
2166;7
2167;9
2168;11
2169;19
2170;18
2171;6
2172;20
2173;2
2174;2
2175;8
2176;7
2177;14
2178;3
2179;11
2180;11
2181;6
2182;16
2183;12
2184;13
2185;15
2186;14
2187;12
2188;7
2189;13
2190;8
2191;9
2192;13
2193;12
2194;10
2195;17
2196;13
2197;12
2198;12
2199;11
2200;8
2201;15
2202;13
2203;4
2204;10
2205;13
2206;0
2207;15
2208;15
2209;7
2210;17
2211;22
2212;10
2213;13
2214;21
2215;13
2216;6
2217;7
2218;14
2219;12
2220;12
2221;15
2222;20
2223;18
2224;13
2225;7
2226;16
2227;15
2228;12
2229;10
2230;18
2231;14
2232;8
2233;3
2234;12
2235;8
2236;13
2237;11
2238;19
2239;2
2240;12
2241;9
2242;13
2243;10
2244;16
2245;19
2246;14
2247;10
2248;15
2249;16
2250;18
2251;12
2252;14
2253;7
2254;20
2255;12
2256;11
2257;9
2258;11
2259;14
2260;12
2261;12
2262;8
2263;16
2264;8
2265;3
2266;6
2267;16
2268;12
2269;0
2270;15
2271;13
2272;12
2273;15
2274;8
2275;18
2276;11
2277;9
2278;15
2279;14
2280;5
2281;5
2282;14
2283;17
2284;18
2285;8
2286;4
2287;16
2288;15
2289;4
2290;13
